Pvalue	FDR
0.005	0.152958152958
0.01	0.214141414141
0.015	0.247086247086
0.02	0.249831649832
0.025	0.249831649832
0.03	0.249831649832
0.035	0.249831649832
0.04	0.259565350474
0.045	0.292011019284
0.05	0.324456688093
0.055	0.346405228758
0.06	0.356902356902
0.065	0.376194376194
0.07	0.39447102605
0.075	0.41181041181
0.08	0.413682277319
0.085	0.413682277319
0.09	0.418972332016
0.095	0.438814373241
0.1	0.438814373241
0.105	0.438814373241
0.11	0.438814373241
0.115	0.438814373241
0.12	0.438814373241
0.125	0.438814373241
0.13	0.449006190942
0.135	0.451704545455
0.14	0.45423936333
0.145	0.456835016835
0.15	0.456835016835
0.155	0.456835016835
0.16	0.456835016835
0.165	0.464912280702
0.17	0.479000531632
0.175	0.487917146145
0.18	0.487917146145
0.185	0.495202020202
0.19	0.508585858586
0.195	0.52196969697
0.2	0.535353535354
0.205	0.535353535354
0.21	0.535353535354
0.215	0.535353535354
0.22	0.546991655687
0.225	0.546991655687
0.23	0.546991655687
0.235	0.546991655687
0.24	0.558629776021
0.245	0.561856185619
0.25	0.561856185619
0.255	0.561856185619
0.26	0.561856185619
0.265	0.561856185619
0.27	0.566239316239
0.275	0.566239316239
0.28	0.571043771044
0.285	0.578760578761
0.29	0.578760578761
0.295	0.578760578761
0.3	0.578760578761
0.305	0.587467596317
0.31	0.587467596317
0.315	0.590734935563
0.32	0.590734935563
0.325	0.592870857334
0.33	0.592870857334
0.335	0.592870857334
0.34	0.595796676442
0.345	0.595796676442
0.35	0.598996962633
0.355	0.598996962633
0.36	0.598996962633
0.365	0.598996962633
0.37	0.598996962633
0.375	0.598996962633
0.38	0.598996962633
0.385	0.598996962633
0.39	0.598996962633
0.395	0.598996962633
0.4	0.598996962633
0.405	0.602272727273
0.41	0.605503308952
0.415	0.612887495646
0.42	0.61602324616
0.425	0.619116333402
0.43	0.622167622168
0.435	0.625177954037
0.44	0.63107900194
0.445	0.63107900194
0.45	0.638169777243
0.455	0.641015417331
0.46	0.642424242424
0.465	0.642424242424
0.47	0.649332029977
0.475	0.65055619486
0.48	0.65055619486
0.485	0.651734738691
0.49	0.651734738691
0.495	0.652870165065
0.5	0.652870165065
0.505	0.659398866716
0.51	0.660376217262
0.515	0.660376217262
0.52	0.662818662819
0.525	0.669191919192
0.53	0.671567748491
0.535	0.673915626857
0.54	0.676236044657
0.545	0.682497489515
0.55	0.684754521964
0.555	0.685252525253
0.56	0.685252525253
0.565	0.691370851371
0.57	0.693526170799
0.575	0.699609733701
0.58	0.703779366701
0.585	0.703779366701
0.59	0.705829242142
0.595	0.70785634119
0.6	0.707953855495
0.605	0.707953855495
0.61	0.708048224177
0.615	0.708048224177
0.62	0.711906297013
0.625	0.711906297013
0.63	0.713804713805
0.635	0.719469830581
0.64	0.725134947357
0.645	0.726953748006
0.65	0.730534511785
0.655	0.730534511785
0.66	0.732297063903
0.665	0.737844768933
0.67	0.743392473962
0.675	0.745079662605
0.68	0.74674954675
0.685	0.75224035224
0.69	0.757731157731
0.695	0.763221963222
0.7	0.764790764791
0.705	0.770065183858
0.71	0.770065183858
0.715	0.770065183858
0.72	0.770065183858
0.725	0.770065183858
0.73	0.770065183858
0.735	0.775339602926
0.74	0.780614021993
0.745	0.785888441061
0.75	0.787284610814
0.755	0.792533174886
0.76	0.797781738958
0.765	0.79911308204
0.77	0.800431499461
0.775	0.801737178549
0.78	0.80303030303
0.785	0.808177933178
0.79	0.813325563326
0.795	0.814557053792
0.8	0.815776815777
0.805	0.820875420875
0.81	0.825974025974
0.815	0.831072631073
0.82	0.836171236171
0.825	0.84126984127
0.83	0.843434343434
0.835	0.843434343434
0.84	0.848484848485
0.845	0.853535353535
0.85	0.858585858586
0.855	0.863636363636
0.86	0.868686868687
0.865	0.873737373737
0.87	0.878787878788
0.875	0.883838383838
0.88	0.888888888889
0.885	0.889742495376
0.89	0.894769289135
0.895	0.899796082895
0.9	0.904822876654
0.905	0.909849670413
0.91	0.914876464172
0.915	0.919903257931
0.92	0.924930051691
0.925	0.92995684545
0.93	0.934983639209
0.935	0.935617860852
0.94	0.94062116492
0.945	0.945624468989
0.95	0.946782641227
0.955	0.946782641227
0.96	0.951739618406
0.965	0.956696595585
0.97	0.958258382916
0.975	0.958258382916
0.98	0.958258382916
0.985	0.963147456298
0.99	0.963636363636
0.995	0.964120846474
1.0	0.968965674848
1.005	0.973810503222
1.01	0.978655331597
1.015	0.983500159971
