#SNPs per gene	 # genes in bin	 mean of the bin 	 sd of the bin 
[159]	11	6.16655997731	3.7767419325
[160]	15	6.34334043815	6.37048981297
[161]	11	6.13746248319	5.37948293955
[162]	8	9.87772321315	6.40738367649
[163]	20	5.08112391766	5.58969026265
[164]	22	8.8927078129	9.07126972073
[165]	13	7.15129914857	7.6398662931
[166]	9	5.68621817724	5.40832757688
[167]	12	4.18688893896	2.34236891106
[168]	11	4.91896069714	2.0819143244
[169]	10	5.22645755963	4.08950934292
[170]	11	8.03270450193	6.68894613799
[171]	12	5.98668057706	3.85274847396
[172]	15	6.31960946827	3.74336039597
[173]	13	6.85243083466	5.50321176045
[174]	9	6.45846347688	5.09036561485
[175]	8	5.13068363092	2.72682639662
[176]	4	5.98694141173	1.10429665741
[177]	7	6.85237024833	4.04904589846
[178]	9	4.36901756263	2.17154914025
[179]	9	4.80882954857	1.89650749092
[180]	11	6.15685486579	4.55563887382
[181]	9	8.49986392958	5.05109991986
[182]	12	7.08219092172	4.74647055843
[183]	7	3.86348885449	0.527340997377
[184]	13	6.09707330784	4.13658338968
[185]	8	4.7110053104	1.39507328902
[186]	11	3.78216972782	1.56707984251
[187]	8	4.19827975358	1.54657709055
[188]	9	9.25750822591	4.04677100866
[189]	7	5.80973775301	3.96369360759
[190]	14	6.025487715	5.86311248618
[191]	11	5.75579012107	3.9486115194
[192]	9	5.14653985402	3.32399916404
[193]	7	8.08885980788	5.99773977082
[194]	12	7.00352332177	3.35686679272
[195]	10	5.29050286055	2.87591801958
[196]	5	3.62858476336	1.63773068505
[197]	11	6.01647042107	5.24964767049
[198]	7	4.19233838083	2.17195346463
[199]	7	6.24302324506	4.15063950886
[200]	13	5.28464983751	3.94628328748
[201]	7	5.63880190356	1.64670048717
[202]	4	6.4023071916	3.98606649926
[203]	3	8.10576365279	2.59538587136
[204]	8	8.82514541942	7.41036324373
[205]	11	7.59658324903	8.29249118494
[206]	4	4.30663278119	2.24261118482
[207]	4	1.70836249133	0.207308157147
[208]	7	4.50559635612	2.04881170106
[209]	2	7.11876024361	0.306132179725
[210]	8	4.80493134401	2.5191610592
[211]	7	5.34075633123	4.0525901301
[212]	11	6.93736817963	3.84315902277
[213]	7	6.19909370893	5.27191672498
[214]	8	6.69240583946	7.30215254952
[215]	4	5.56107148656	1.38019215225
[216]	5	6.7196648233	3.41345737936
[217]	9	8.60540046518	6.41644457957
[218]	7	8.17445923864	7.5215544732
[219]	7	7.76135534433	4.40157573469
[220]	7	5.57924706377	2.29196385881
[221]	7	4.40544408149	2.44979729776
[222]	9	6.95420336983	6.47497270877
[223]	6	11.5207815651	5.96821804211
[224]	7	5.51688504023	3.13141737737
[225]	9	9.08206689915	6.72673120421
[226]	7	6.22313558393	2.35277995264
[227]	6	8.24923068253	6.01370307852
[228]	7	4.14280148593	1.32735485293
[229]	4	5.68510746314	1.44067894044
[230]	10	6.76070590506	5.1183618529
[231]	4	3.75626854489	1.02968124502
[232]	3	12.933730392	11.9711934214
[233]	7	9.31904463931	5.04225787922
[234]	2	22.6167611244	1.976122043
[235]	5	6.01943569488	2.25673668103
[236]	8	6.93625293805	1.58402394039
[237]	3	4.50890441867	2.86833385953
[238]	6	8.25421978663	2.95673612282
[239]	2	9.91624036716	1.90794144564
[240]	5	6.79076141812	3.29717047129
[241]	6	11.4089270661	5.29793992227
[242]	2	6.85912255197	0.422757876715
[243]	6	4.49854713409	1.63912650207
[244]	10	4.40236634203	1.72101672448
[245]	4	5.72601392798	3.08575066436
[246]	7	7.04937374379	3.19500397612
[247]	10	6.08650703661	3.5297442234
[248]	10	6.96265055421	6.51620101774
[249]	7	9.54607221303	8.42429785865
[250]	5	4.56371279397	2.91528694552
[251]	2	11.235916323	5.46695860085
[252]	6	3.96784752942	1.44049866171
[253]	4	4.86412164492	1.22256291213
[254]	4	14.4680669327	10.8254556495
[255]	7	10.9452254675	11.5076853262
[256]	1	4.49089208663	0.0
[257]	8	5.84352304865	2.58527609576
