Length	Score	ID	Pvalue	Qvalues
519	10.9607216809	106387	0.302	0.498476383951
522	15.831068155	160976	0.241	0.465798045603
11	-0.576864390089	83012	0.538	0.598684210526
11	-0.893292929853	105679	0.574	0.603526366872
11	3.05627741526	105709	0.175	0.416579588993
11	1.10802932062	105722	0.338	0.518772136954
11	-3.33409752971	105790	0.873	0.646376152008
11	-1.44386936635	105939	0.64	0.613636363636
11	-3.72577507955	106030	0.907	0.657612939208
11	1.47756824884	106148	0.288	0.492140424417
11	3.66952989703	106154	0.14	0.381404958678
11	-1.85435139687	106266	0.691	0.613636363636
11	-0.596491160342	106276	0.539	0.598684210526
11	0.161498467569	106347	0.439	0.579038149351
11	0.395195479466	106354	0.413	0.562316715543
11	-0.80950273269	106368	0.566	0.602536997886
11	4.07118759991	106374	0.121	0.371840354767
11	6.68394612201	106407	0.04	0.299102132435
11	-4.79853242239	106416	0.967	0.668732782369
11	-0.79479149509	106546	0.563	0.602536997886
11	-0.546050218845	119555	0.536	0.598684210526
11	-2.36034704084	142268	0.749	0.613636363636
11	4.73093022069	160952	0.083	0.335927770859
11	0.656864571702	187099	0.383	0.544034090909
11	2.30568363324	187179	0.226	0.449647995103
11	3.47196879947	187186	0.15	0.393071686023
11	-1.04451387558	187218	0.591	0.610537190083
11	3.24736758758	198761	0.165	0.407949790795
11	-0.465819479453	205111	0.525	0.596569139673
11	0.395195479466	[106354, 106352]	0.413	0.562316715543
11	-2.36034704084	[142268, 142267]	0.749	0.613636363636
11	-2.36034704084	[142268, 142267, 142266]	0.749	0.613636363636
12	2.64244017457	105707	0.18	0.416579588993
12	2.20192716771	105819	0.213	0.443181818182
12	-3.8175905394	105847	0.889	0.650951898164
12	-3.71480860733	105905	0.879	0.647571606476
12	1.37167183012	106064	0.288	0.492140424417
12	-3.7171574321	106121	0.88	0.647571606476
12	0.123906577271	106149	0.412	0.562316715543
12	-3.07078979053	106158	0.813	0.63211722488
12	2.39228530547	106273	0.197	0.433616742969
12	2.37025568733	106288	0.2	0.433616742969
12	3.09445917167	106351	0.162	0.404698242934
12	0.302305248815	106355	0.385	0.545563549161
12	-0.9939666883	106449	0.543	0.60199556541
12	-3.27693571198	106450	0.84	0.636363636364
12	1.29969483088	106462	0.289	0.492140424417
12	-1.78599839214	106475	0.653	0.613636363636
12	-3.80360816639	106480	0.888	0.650951898164
12	1.37611558237	106483	0.288	0.492140424417
12	-4.52091565483	142207	0.942	0.668138216699
12	2.85198977043	160136	0.168	0.411920030177
12	-1.03728968858	160989	0.55	0.602536997886
12	1.99551081969	161000	0.224	0.449170761671
12	-3.13377596995	161028	0.827	0.634594977007
12	8.53857452025	161072	0.015	0.221590909091
12	-1.75848631889	187092	0.648	0.613636363636
12	11.5013566878	187172	0.004	0.131313131313
12	-3.35377589065	187188	0.849	0.640089418778
13	-1.78342857397	82996	0.676	0.613636363636
13	-5.16215639752	82997	0.961	0.668496216562
13	3.62971137021	83047	0.16	0.404698242934
13	1.25722186976	105649	0.337	0.518772136954
13	1.25722186976	105650	0.337	0.518772136954
13	-1.21831559222	105683	0.601	0.613636363636
13	-2.22956703846	105795	0.724	0.613636363636
13	-0.164993655495	105985	0.475	0.582345191041
13	1.86997896557	106193	0.287	0.492140424417
13	4.39033730432	106212	0.127	0.371840354767
13	1.31343701688	106238	0.334	0.518772136954
13	5.65300452462	106406	0.092	0.348484848485
13	-5.62549806948	106415	0.971	0.668732782369
13	-0.685409943925	106437	0.533	0.598684210526
13	8.38656474414	106538	0.023	0.27990430622
13	-2.24225427704	106545	0.726	0.613636363636
13	-3.80070437117	119523	0.873	0.646376152008
13	0.796153995809	119530	0.387	0.545779995661
13	4.30260352148	142283	0.132	0.373205741627
13	1.32044829509	142358	0.334	0.518772136954
13	6.12687441242	160954	0.077	0.335840418574
13	-3.6384930547	161031	0.857	0.640089418778
13	-0.947380723994	187098	0.565	0.602536997886
13	7.34613062358	187201	0.044	0.302325581395
13	0.411227340065	187209	0.409	0.562050739958
13	0.476603232759	187217	0.404	0.557774001699
13	-1.21831559222	[105683, 105682]	0.601	0.613636363636
13	-2.24225427704	[106545, 105792]	0.726	0.613636363636
13	-2.24225427704	[106545, 105792, 105791]	0.726	0.613636363636
13	-3.6384930547	[161031, 161027]	0.857	0.640089418778
13	-3.6384930547	[161031, 161027, 106535]	0.857	0.640089418778
14	-2.01755187268	82960	0.644	0.613636363636
14	-1.29385413959	83018	0.559	0.602536997886
14	4.1818141923	105659	0.142	0.381404958678
14	2.94577345762	105706	0.204	0.433616742969
14	2.4994716494	105814	0.234	0.457856712824
14	1.2903167077	106008	0.308	0.502762430939
14	-4.97248670381	106059	0.942	0.668138216699
14	3.4530241237	106060	0.179	0.416579588993
14	-2.60619555912	106076	0.723	0.613636363636
14	-3.38549312794	106157	0.8	0.62857660268
14	-3.17808817377	106325	0.778	0.623781916862
14	-0.580967097196	106340	0.48	0.582415531081
14	-0.778310785456	106345	0.505	0.586265404537
14	1.34823240542	106423	0.305	0.500631313131
14	7.85543717448	106463	0.03	0.282225237449
14	-3.56311995756	106522	0.815	0.632565867553
